Country Name,Country Code,Series Name,Series Code,2023 [YR2023]
Sweden,SWE,GDP per capita (current US$),NY.GDP.PCAP.CD,55516.836477474
Sweden,SWE,GDP (current US$),NY.GDP.MKTP.CD,584960475767.32
Sweden,SWE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-0.310670184725893
Sweden,SWE,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-0.780807367826782
Sweden,SWE,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),EN.GHG.CO2.ZG.AR5,-38.0604446280095
Sweden,SWE,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,35.3922
Sweden,SWE,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,3.35896707790497
World,WLD,GDP per capita (current US$),NY.GDP.PCAP.CD,13169.5982250474
World,WLD,GDP (current US$),NY.GDP.MKTP.CD,106171667873321
World,WLD,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.83350870346007
World,WLD,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1.91645642082212
World,WLD,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),EN.GHG.CO2.ZG.AR5,71.5723923050352
World,WLD,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,39023.937038738
World,WLD,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,4.67810231680902
East Asia & Pacific,EAS,GDP per capita (current US$),NY.GDP.PCAP.CD,12908.6377076783
East Asia & Pacific,EAS,GDP (current US$),NY.GDP.MKTP.CD,30780176881541.3
East Asia & Pacific,EAS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.10414562460986
East Asia & Pacific,EAS,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,3.89391207284761
East Asia & Pacific,EAS,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),EN.GHG.CO2.ZG.AR5,261.500100744567
East Asia & Pacific,EAS,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,17247.0863
East Asia & Pacific,EAS,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,7.30471261326517
East Asia & Pacific (excluding high income),EAP,GDP per capita (current US$),NY.GDP.PCAP.CD,9900.61356517593
East Asia & Pacific (excluding high income),EAP,GDP (current US$),NY.GDP.MKTP.CD,21162836277192.4
East Asia & Pacific (excluding high income),EAP,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.10744885870969
East Asia & Pacific (excluding high income),EAP,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,4.91236478739438
East Asia & Pacific (excluding high income),EAP,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),EN.GHG.CO2.ZG.AR5,414.950831959008
East Asia & Pacific (excluding high income),EAP,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,15206.0032
East Asia & Pacific (excluding high income),EAP,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,7.11382725746821
Europe & Central Asia,ECS,GDP per capita (current US$),NY.GDP.PCAP.CD,29789.15402951
Europe & Central Asia,ECS,GDP (current US$),NY.GDP.MKTP.CD,27554069781140.1
Europe & Central Asia,ECS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.01614432883042
Europe & Central Asia,ECS,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1.0615178361892
Europe & Central Asia,ECS,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),EN.GHG.CO2.ZG.AR5,-28.3049791910132
Europe & Central Asia,ECS,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,6165.4863
Europe & Central Asia,ECS,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,6.73434474441377
Europe & Central Asia (excluding high income),ECA,GDP per capita (current US$),NY.GDP.PCAP.CD,8548.0103775697
Europe & Central Asia (excluding high income),ECA,GDP (current US$),NY.GDP.MKTP.CD,2129704371516.14
Europe & Central Asia (excluding high income),ECA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.04254617779993
Europe & Central Asia (excluding high income),ECA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,5.75414531846701
Europe & Central Asia (excluding high income),ECA,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),EN.GHG.CO2.ZG.AR5,-28.9439151463016
Europe & Central Asia (excluding high income),ECA,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,1200.8516
Europe & Central Asia (excluding high income),ECA,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,5.00041303269173
South Asia,SAS,GDP per capita (current US$),NY.GDP.PCAP.CD,2303.30291008899
South Asia,SAS,GDP (current US$),NY.GDP.MKTP.CD,4494987381110.1
South Asia,SAS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6.77854269975873
South Asia,SAS,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,5.72523691087569
South Asia,SAS,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),EN.GHG.CO2.ZG.AR5,383.252639140927
South Asia,SAS,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,3332.5073
South Asia,SAS,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,1.70762965748019
Latin America & Caribbean,LCN,GDP per capita (current US$),NY.GDP.PCAP.CD,10796.8623721014
